id_cliente,cliente,correo,telefono
CL1101,Luis Mendoza,cliente10178@outlook.com,71683242
CL1102,Luis Pérez,cliente10284@gmail.com,77265676
CL1103,María Guerrero,cliente10354@outlook.com,73202233
CL1104,Elena Romero,cliente10431@empresa.com,74238390
CL1106,Daniela Hernández,cliente10698@outlook.com,71333405
CL1107,Ricardo Pérez,cliente10775@empresa.com,72106131
CL1108,Diego Ramírez,cliente10895@correo.sv,72214715
CL1109,Andrés Gómez,cliente1093@correo.sv,79564754
CL1110,Camila Reyes,cliente11040@correo.sv,79457963
CL1111,Ricardo Reyes,cliente11156@outlook.com,79057779
CL1112,Camila Morales,cliente11273@outlook.com,79330666
CL1114,Valeria Castro,cliente11439@correo.sv,74216458
CL1115,Pedro Guerrero,cliente11565@outlook.com,76440685
CL1116,José Vásquez,cliente11687@outlook.com,77581403
CL1117,María Martínez,cliente11721@outlook.com,74335450
CL1118,Andrés Ramírez,cliente11830@correo.sv,79663416
CL1119,Elena Martínez,cliente11996@gmail.com,74582467
CL1120,Sofía Ramírez,cliente12013@empresa.com,74229097
CL1121,José Rivas,cliente12181@outlook.com,71585714
CL1122,José Santos,cliente12290@gmail.com,79669302
CL1123,Ricardo Reyes,cliente12364@correo.sv,74254075
CL1124,José Guerrero,cliente12430@outlook.com,76021634
CL1125,Andrés López,cliente12580@correo.sv,75691576
CL1126,Camila Ramírez,cliente12692@gmail.com,78892920
CL1127,Lucía Mendoza,cliente12735@empresa.com,75813994
CL1128,Andrés Cruz,cliente12872@empresa.com,73297887
CL1129,Ricardo Hernández,cliente12935@outlook.com,77561387
CL1130,Valeria Guerrero,cliente13020@outlook.com,76381255
CL1131,Diego Morales,cliente13125@gmail.com,73120416
CL1132,Luis Romero,cliente13285@gmail.com,75148397
CL1133,Valeria Hernández,cliente13353@empresa.com,73560687
CL1134,Pedro Cruz,cliente13463@gmail.com,72291683
CL1135,Fernando López,cliente13524@correo.sv,77243091
CL1136,María Martínez,cliente13642@gmail.com,74902768
CL1137,Elena Mendoza,cliente13756@empresa.com,77119806
CL1138,Pedro Vásquez,cliente13813@correo.sv,72784362
CL1139,Paola Santos,cliente13982@gmail.com,78348820
CL1091,Andrés Mejía,cliente914@outlook.com,71675779
CL1083,Marta Mendoza,cliente8321@correo.sv,76069668
CL1065,Jorge Flores,cliente6549@outlook.com,74058523
CL1139,Paola Santos,cliente13982@gmail.com,78348820
