id_envio,id_pedido,direccion,fecha_envio,estado_envio
ENV8106,PED7062,"Calle El Mirador, Santa Ana",2024-10-19,preparando
ENV8107,PED7086,"Calle El Mirador, Sonsonate",2025-02-04,preparando
ENV8108,PED7144,"Boulevard Constitución, San Miguel",2024-02-02,en ruta
ENV8109,,"Calle El Mirador, La Libertad",2024-03-08,devuelto
ENV8110,PED7201,"Col. Escalón, Sonsonate",2024-03-04,preparando
ENV8111,PED7145,"Boulevard Constitución, Sonsonate",2025/99/10,devuelto
ENV8112,PED7186," Calle Principal, Usulután ",2024-03-30,devuelto
ENV8113,PED7051,"Calle Principal, San Miguel",2024-09-24,devuelto
ENV8114,PED7214,"Boulevard Constitución, San Miguel",,en ruta
ENV8115,PED7091,"Pje. Las Flores, Sonsonate",2024-08-12,devuelto
ENV8116,PED7112,"Calle El Mirador, San Salvador",2024-02-16,entregado
ENV8117,,"Pje. Las Flores, San Miguel",2025-06-06,preparando
ENV8118,PED7107,"Pje. Las Flores, San Salvador",2025-04-17,devuelto
ENV8119,PED7203," Calle El Mirador, La Libertad ",2024-02-17,preparando
ENV8120,PED7193,"Av. Roosevelt, Santa Ana",2024-05-12,entregado
ENV8121,PED7052,"Pje. Las Flores, San Salvador",2024-10-19,entregado
ENV8122,PED7166,"Av. Roosevelt, Santa Ana",2024-09-30,entregado
ENV8123,PED7120,"Calle El Mirador, Santa Ana",2024-12-11,entregado
ENV8124,,"Pje. Las Flores, La Libertad",2025-03-03,preparando
ENV8125,PED7136,"Calle El Mirador, San Salvador",2024-10-07,devuelto
ENV8126,,"Pje. Las Flores, Santa Ana ",2024-07-05,en ruta
ENV8127,PED7024,"Calle Principal, Sonsonate",2024-07-15,devuelto
ENV8128,PED7072,"Av. Roosevelt, San Salvador ",2024-08-10,devuelto
ENV8129,PED7023,"Calle Principal, Sonsonate",2025-04-16,preparando
ENV8130,PED7142,"Calle El Mirador, Santa Ana",2025-02-26,devuelto
ENV8131,PED7022,"Pje. Las Flores, San Salvador",2024-09-10,entregado
ENV8132,PED7145," Col. Escalón, Usulután ",2024-01-22,preparando
ENV8133,PED7093,"Calle Principal, Santa Ana",2024-06-24,en ruta
ENV8134,PED7008,"Calle Principal, Santa Ana",2024-10-05,preparando
ENV8135,PED7118,"Col. Escalón, Santa Ana",2025-03-03,preparando
ENV8136,PED7121,"Av. Roosevelt, San Salvador",2025-05-28, en ruta 
ENV8137,PED7091,"Col. Escalón, Usulután",2024-02-25,preparando
ENV8138,PED7089,"Boulevard Constitución, Santa Ana",2024-12-14,entregado
ENV8139,PED7138,"Pje. Las Flores, Usulután",2024-10-20,devuelto
ENV8140,PED7174,"Av. Roosevelt, Usulután",2024-02-04,preparando
ENV8141,PED7218,"Calle Principal, La Libertad",2024-07-23,en ruta
ENV8142,PED7011,"Col. Escalón, San Miguel",2025-05-09,devuelto
ENV8143,PED7028,"Boulevard Constitución, Sonsonate",2024-05-19,entregado
ENV8144,PED7181,"Av. Roosevelt, San Salvador",2025-01-11,devuelto
ENV8145,PED7166,"Pje. Las Flores, San Salvador",2025-01-01,entregado
ENV8146,PED7009,"Pje. Las Flores, Sonsonate",2025-01-16,entregado
ENV8147,PED7229,"Boulevard Constitución, Sonsonate",2024-11-29,entregado
ENV8148,,"Calle Principal, Usulután",2025-01-09,preparando
ENV8149,PED7212,"Col. Escalón, San Miguel",2024-02-19,entregado
ENV8150,PED7005,"Av. Roosevelt, La Libertad",2024-04-30,devuelto
ENV8151,PED7212,"Pje. Las Flores, Sonsonate",2024-07-03,preparando
ENV8152,PED7176,"Calle Principal, San Miguel",2024/12/02,en ruta
ENV8153,PED7096,"Pje. Las Flores, La Libertad",,preparando
ENV8154,PED7010,"Pje. Las Flores, San Salvador",2024-07-16,entregado
ENV8155,PED7164,"Boulevard Constitución, San Miguel",2024-12-10,en ruta
ENV8156,PED7150,"Calle El Mirador, La Libertad",2024-09-14,entregado
ENV8157,PED7221,"Boulevard Constitución, Sonsonate",2025-04-30,en ruta
ENV8158,PED7082,"Boulevard Constitución, Santa Ana",2024-10-21,preparando
ENV8159,PED7068,"Av. Roosevelt, La Libertad",2024-08-20,devuelto
ENV8160,PED7113,"Pje. Las Flores, San Salvador",2024-11-29,preparando
ENV8161,PED7014,"Calle El Mirador, La Libertad",2025-05-21,devuelto
ENV8162,PED7217,"Av. Roosevelt, La Libertad",2024-12-24,entregado
ENV8163,PED7098,"Pje. Las Flores, Usulután",,entregado
ENV8164,PED7191,"Col. Escalón, Usulután ",2025-01-01,preparando
ENV8165,PED7057,"Calle Principal, Santa Ana",31/15/2024,entregado
ENV8166,PED7172,"Col. Escalón, Usulután",2025-05-17,devuelto
ENV8167,PED7225,"Col. Escalón, Sonsonate",2024-02-29,entregado
ENV8168,PED7143,"Pje. Las Flores, San Miguel",2024-04-15,devuelto
ENV8169,PED7053,"Pje. Las Flores, Sonsonate",2025-01-25,en ruta
ENV8170,PED7207,"Col. Escalón, Sonsonate",2024/05/25,entregado
ENV8171,PED7110,"Boulevard Constitución, San Miguel",2024-10-27,devuelto
ENV8172,PED7162,"Boulevard Constitución, Usulután",2025-05-22,preparando
ENV8173,PED7013,"Calle Principal, San Miguel",2024-03-13,entregado
ENV8174,PED7053,"Calle Principal, San Miguel",2024-10-09,devuelto
ENV8175,PED7091,"Calle Principal, San Miguel",2024-10-22,en ruta
ENV8176,PED7225,"Calle Principal, San Miguel",2024-05-02,en ruta 
ENV8177,PED7171,"Pje. Las Flores, La Libertad",2024-05-09,entregado
ENV8178,PED7208,"Calle El Mirador, Sonsonate",2024-07-02,devuelto
ENV8179,PED7071,"Calle El Mirador, Sonsonate",2025-05-22,en ruta
ENV8180,PED7089,"Calle Principal, San Salvador",2025-01-02,preparando
ENV8181,PED7170,"Pje. Las Flores, Santa Ana",2024-05-29,preparando
ENV8182,PED7022,"Pje. Las Flores, San Miguel ",2025-01-06,devuelto
ENV8183,PED7071,"Av. Roosevelt, Sonsonate",2024-03-13,preparando
ENV8184,PED7000,"Col. Escalón, Usulután",2024-08-09,en ruta
ENV8185,PED7210,"Boulevard Constitución, San Salvador",2025-01-01,devuelto
ENV8186,PED7067,"Boulevard Constitución, San Miguel",2024-03-22,en ruta
ENV8187,PED7051,"Calle Principal, San Salvador",2025-03-25,entregado
ENV8188,PED7046,"Boulevard Constitución, Sonsonate",2024-04-25,entregado
ENV8189,,"Calle El Mirador, Sonsonate",,entregado
ENV8190,PED7076,"Boulevard Constitución, San Miguel",2024-02-27,devuelto
ENV8191,PED9999,"Av. Roosevelt, La Libertad",2025-03-28,devuelto
ENV8192,PED7196,"Boulevard Constitución, San Salvador",2024-06-29,devuelto
ENV8193,PED7171,"Calle Principal, San Miguel",2024-09-03,entregado
ENV8194,,"Calle El Mirador, La Libertad",2024-03-04,entregado
ENV8195,PED7145,"Pje. Las Flores, San Salvador",2024-08-08,entregado
ENV8196,PED7148,"Av. Roosevelt, Usulután",2024-06-14,devuelto
ENV8197,PED9999,"Calle Principal, La Libertad",2024-07-04,en ruta
ENV8198,PED7020,"Pje. Las Flores, San Salvador",2024-02-19,devuelto
ENV8199,PED7026,"Calle Principal, Sonsonate",2024-01-07,devuelto
ENV8200,PED7159,"Boulevard Constitución, Santa Ana",2024-06-12,devuelto
ENV8201,PED7120,"Pje. Las Flores, Santa Ana",2024-05-03,en ruta
ENV8202,PED7122,"Calle Principal, Santa Ana",2024-09-10,devuelto
ENV8203,PED7120,"Boulevard Constitución, La Libertad",2024-12-14,devuelto
ENV8204,PED7147,"Av. Roosevelt, Usulután",2024-02-09,entregado
ENV8205,PED7173,"Boulevard Constitución, San Salvador",2024-08-30,entregado
ENV8206,PED7192,"Av. Roosevelt, La Libertad",2025-05-06,preparando
ENV8207,PED7019,"Calle Principal, San Miguel",2025-01-27,entregado
ENV8208,PED7157,"Col. Escalón, Usulután",2024-12-21,preparando
ENV8209,PED7195,"Av. Roosevelt, Sonsonate",2024-07-09,en ruta
ENV8019,PED7196,"Boulevard Constitución, Sonsonate",2024-12-19,preparando
ENV8194,,"Calle El Mirador, La Libertad",2024-03-04,entregado
ENV8030,PED7226,"Boulevard Constitución, San Miguel",2024-05-24,entregado
ENV8166,PED7172,"Col. Escalón, Usulután",2025-05-17,devuelto
ENV8115,PED7091,"Pje. Las Flores, Sonsonate",2024-08-12,devuelto
ENV8104,PED7144,"Calle El Mirador, San Miguel",2024-13-01,en ruta
